off,def,cluster_k3,cluster_k4,cluster_k5,KMeans_Clase,Color_Cluster
1.35,0.94,1,1,3,1,azul
1.46,1.18,1,1,3,1,azul
1.57,1.25,0,1,3,1,azul
1.31,1.82,1,0,1,0,rojo
0.86,1.33,1,0,1,0,rojo
1.71,1.36,0,1,3,1,azul
0.36,2.25,2,2,0,2,verde
0.85,1.32,1,0,1,0,rojo
0.57,1.64,2,0,4,0,rojo
2.25,1.0,0,3,2,3,amarillo
1.33,1.21,1,1,3,1,azul
2.14,1.1,0,3,2,3,amarillo
1.77,0.79,0,3,2,3,amarillo
2.07,0.66,0,3,2,3,amarillo
0.63,2.55,2,2,0,2,verde
0.98,1.94,2,0,4,0,rojo
0.45,2.22,2,2,0,2,verde
0.58,2.26,2,2,0,2,verde
0.94,1.71,1,0,4,0,rojo
1.37,1.59,1,1,1,1,azul
0.84,1.56,1,0,4,0,rojo
1.48,1.15,1,1,3,1,azul
0.92,1.82,2,0,4,0,rojo
1.12,1.66,1,0,1,0,rojo
0.93,1.43,1,0,1,0,rojo
1.55,0.96,0,1,3,1,azul
1.06,1.7,1,0,1,0,rojo
1.02,1.33,1,0,1,0,rojo
1.56,1.44,1,1,3,1,azul
1.18,1.12,1,1,1,1,azul
1.33,1.27,1,1,3,1,azul
2.47,0.73,0,3,2,3,amarillo
1.45,1.85,1,0,1,0,rojo
1.37,1.58,1,1,1,1,azul
1.01,1.91,2,0,4,0,rojo
1.6,1.17,0,1,3,1,azul
0.2,2.41,2,2,0,2,verde
0.46,1.76,2,2,4,2,verde
0.87,1.9,2,0,4,0,rojo
1.13,1.18,1,1,1,1,azul
1.28,1.29,1,1,1,1,azul
1.39,1.58,1,1,1,1,azul
1.53,1.75,1,1,1,1,azul
1.84,1.37,0,1,3,1,azul
2.15,1.34,0,3,2,3,amarillo
2.01,0.69,0,3,2,3,amarillo
1.04,1.4,1,0,1,0,rojo
1.06,1.48,1,0,1,0,rojo
1.25,1.53,1,0,1,0,rojo
0.77,1.92,2,2,4,2,verde
0.51,1.82,2,2,4,2,verde
0.54,2.43,2,2,0,2,verde
1.46,1.12,1,1,3,1,azul
1.66,0.93,0,1,3,1,azul
0.92,1.76,2,0,4,0,rojo
0.94,1.85,2,0,4,0,rojo
0.51,2.51,2,2,0,2,verde
0.79,1.34,1,0,1,0,rojo
1.0,1.09,1,1,1,1,azul
0.68,2.28,2,2,0,2,verde
1.3,1.39,1,1,1,1,azul
1.42,1.24,1,1,3,1,azul
1.62,1.38,1,1,3,1,azul
0.9,1.58,1,0,4,0,rojo
0.84,1.67,2,0,4,0,rojo
0.47,1.85,2,2,4,2,verde
1.02,1.47,1,0,1,0,rojo
1.95,1.11,0,3,2,3,amarillo
1.01,1.68,1,0,4,0,rojo
1.14,1.77,1,0,1,0,rojo
1.05,1.32,1,0,1,0,rojo
0.71,1.48,1,0,4,0,rojo
1.81,0.62,0,3,2,3,amarillo
1.65,1.08,0,1,3,1,azul
0.79,2.36,2,2,0,2,verde
1.4,1.7,1,0,1,0,rojo
0.71,1.98,2,2,4,2,verde
1.45,1.76,1,0,1,0,rojo
0.2,2.11,2,2,0,2,verde
0.9,1.62,1,0,4,0,rojo
0.77,1.55,1,0,4,0,rojo
1.35,1.65,1,0,1,0,rojo
1.53,0.99,0,1,3,1,azul
1.23,1.23,1,1,1,1,azul
2.16,0.72,0,3,2,3,amarillo
0.99,1.58,1,0,1,0,rojo
1.63,0.8,0,3,3,3,amarillo
1.55,1.2,0,1,3,1,azul
2.1,0.93,0,3,2,3,amarillo
1.41,1.35,1,1,3,1,azul
1.3,1.35,1,1,1,1,azul
0.87,1.98,2,2,4,2,verde
1.67,1.24,0,1,3,1,azul
1.27,2.03,1,0,4,0,rojo
0.7,1.42,1,0,4,0,rojo
1.65,1.39,0,1,3,1,azul
1.54,0.96,0,1,3,1,azul
1.64,1.03,0,1,3,1,azul
2.14,0.86,0,3,2,3,amarillo
1.23,1.12,1,1,3,1,azul
1.33,1.43,1,1,1,1,azul
1.44,1.69,1,1,1,1,azul
0.39,1.84,2,2,0,2,verde
0.27,2.08,2,2,0,2,verde
1.13,1.43,1,0,1,0,rojo
0.97,1.14,1,0,1,0,rojo
1.39,1.44,1,1,1,1,azul
1.16,1.37,1,0,1,0,rojo
1.19,1.17,1,1,1,1,azul
0.46,2.06,2,2,0,2,verde
1.64,1.29,0,1,3,1,azul
0.74,1.74,2,0,4,0,rojo
0.8,1.72,2,0,4,0,rojo
0.91,1.63,1,0,4,0,rojo
1.41,1.14,1,1,3,1,azul
1.8,1.09,0,3,3,3,amarillo
0.9,1.92,2,0,4,0,rojo
0.87,1.48,1,0,1,0,rojo
1.32,1.46,1,1,1,1,azul
0.23,2.26,2,2,0,2,verde
1.8,1.14,0,1,3,1,azul
0.86,1.36,1,0,1,0,rojo
0.96,1.48,1,0,1,0,rojo
1.69,0.98,0,1,3,1,azul
2.28,0.88,0,3,2,3,amarillo
0.34,1.88,2,2,0,2,verde
1.49,1.03,0,1,3,1,azul
0.49,2.27,2,2,0,2,verde
0.84,1.09,1,0,1,0,rojo
0.91,1.62,1,0,4,0,rojo
0.45,1.55,2,0,4,0,rojo
0.56,1.65,2,0,4,0,rojo
1.8,1.44,0,1,3,1,azul
2.28,0.87,0,3,2,3,amarillo
2.07,0.92,0,3,2,3,amarillo
1.19,1.29,1,1,1,1,azul
0.26,2.15,2,2,0,2,verde
0.2,2.38,2,2,0,2,verde
0.83,1.65,2,0,4,0,rojo
0.98,1.56,1,0,1,0,rojo
1.08,1.69,1,0,1,0,rojo
1.25,1.47,1,0,1,0,rojo
0.5,2.43,2,2,0,2,verde
0.56,2.17,2,2,0,2,verde
2.01,0.51,0,3,2,3,amarillo
0.71,1.66,2,0,4,0,rojo
0.58,1.91,2,2,4,2,verde
0.61,1.23,1,0,1,0,rojo
1.31,1.34,1,1,1,1,azul
1.96,0.97,0,3,2,3,amarillo
1.9,0.9,0,3,2,3,amarillo
1.93,1.1,0,3,2,3,amarillo
1.43,1.35,1,1,3,1,azul
0.85,1.44,1,0,1,0,rojo
0.63,1.97,2,2,4,2,verde
0.92,1.67,1,0,4,0,rojo
1.32,1.52,1,1,1,1,azul
0.36,2.4,2,2,0,2,verde
1.07,1.58,1,0,1,0,rojo
1.89,0.81,0,3,2,3,amarillo
1.32,1.89,1,0,1,0,rojo
0.85,1.74,2,0,4,0,rojo
1.22,1.11,1,1,3,1,azul
1.84,1.25,0,1,3,1,azul
1.82,0.65,0,3,2,3,amarillo
1.51,0.73,0,1,3,1,azul
0.24,1.77,2,2,0,2,verde
1.57,1.61,1,1,3,1,azul
0.75,1.54,1,0,4,0,rojo
1.49,1.34,1,1,3,1,azul
1.21,1.24,1,1,1,1,azul
0.85,1.48,1,0,1,0,rojo
2.07,0.64,0,3,2,3,amarillo
1.78,0.78,0,3,2,3,amarillo
0.99,1.97,2,0,4,0,rojo
1.33,1.78,1,0,1,0,rojo
0.78,1.56,1,0,4,0,rojo
1.4,1.18,1,1,3,1,azul
0.82,1.68,2,0,4,0,rojo
1.69,1.12,0,1,3,1,azul
0.95,1.58,1,0,1,0,rojo
1.79,1.0,0,3,3,3,amarillo
0.63,1.87,2,2,4,2,verde
2.05,0.8,0,3,2,3,amarillo
0.5,1.42,2,0,4,0,rojo
1.06,2.3,2,2,4,2,verde
0.96,1.64,1,0,4,0,rojo
2.62,0.91,0,3,2,3,amarillo
1.46,0.95,0,1,3,1,azul
1.53,1.08,0,1,3,1,azul
0.26,1.98,2,2,0,2,verde
0.92,1.75,2,0,4,0,rojo
0.88,2.02,2,2,4,2,verde
0.87,1.86,2,0,4,0,rojo
1.3,1.27,1,1,3,1,azul
0.72,2.0,2,2,4,2,verde
1.18,1.3,1,1,1,1,azul
1.04,1.41,1,0,1,0,rojo
1.3,1.4,1,1,1,1,azul
1.32,1.93,1,0,1,0,rojo
0.87,1.85,2,0,4,0,rojo
1.42,1.15,1,1,3,1,azul
1.02,2.18,2,2,4,2,verde
1.08,1.8,1,0,4,0,rojo
0.56,2.36,2,2,0,2,verde
0.8,1.8,2,0,4,0,rojo
2.01,1.19,0,3,2,3,amarillo
0.66,2.19,2,2,0,2,verde
1.38,1.71,1,0,1,0,rojo
0.83,1.68,2,0,4,0,rojo
1.25,1.86,1,0,1,0,rojo
1.56,1.5,1,1,3,1,azul
1.59,0.93,0,1,3,1,azul
0.93,1.44,1,0,1,0,rojo
1.51,1.19,1,1,3,1,azul
0.46,2.36,2,2,0,2,verde
1.82,1.41,0,1,3,1,azul
1.77,1.24,0,1,3,1,azul
1.72,0.77,0,3,2,3,amarillo
1.7,0.66,0,3,2,3,amarillo
0.98,1.99,2,0,4,0,rojo
1.22,1.33,1,1,1,1,azul
0.9,1.62,1,0,4,0,rojo
